Institution,Besuche insgesamt,zahlende Besucherinnen und Besucher,nicht zahlende Besucherinnen und Besucher,Besucherinnen,Besucher,Kinder und Jugendliche,Besuche außerhalb Berlins bei Gastspielen oder Wanderaus- stellungen,Kategorie,Jahr
Altes Museum mit Antikensammlung - Museumsinsel,162000,113200,48800,-,-,13500,555000,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2012
"Alte Nationalgalerie -
Museumsinsel",312000,246300,65700,-,-,10100,205000,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2012
"Bodemuseum mit Skulpturensammlung,
Museum für Byzantinische Kunst
und Münzkabinett - Museumsinsel",165000,123300,41700,-,-,6400,405000,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2012
"Neues Museum mit Ägyptisches Museum, Museum für Vor- und
Frühgeschichte - Musuemsinsel ",701000,511400,189600,364520,336480,51400,223000,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2012
"Pergamonmuseum mit Antikensammlung, Museum für Islamische Kunst, Vorderasiatischem Museum, Münzkabinett - Musuemsinsel",1410.000,1153.400,256600,768450,648600,87500,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2012
Friedrichswerdersche Kirche - Museumsinsel,141000,-,141000,-,-,-,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2012
Hamburger Bahnhof - Tiergarten,280000,214900,65100,-,-,14400,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2012
Neue Nationalgalerie - Kulturforum,416000,340700,75300,-,-,17300,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2012
"Gemäldegalerie - Kulturforum (Zentralkasse)
mit Kunstbibliothek und Kupferstichkabinett",322000,234800,87200,-,-,9600,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2012
Kunstgewerbemuseum - Kulturforum,-,-,-,-,-,-,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2012
Kunstgewerbemuseum - Schloss Köpenick,26500,24500,5000,-,-,1200,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2012
"Ethnologisches Museum - Museen Dahlem (Zentralkasse)
mit Museum Europäischer Kulturen und Museum für Asiatische Kunst",140000,68600,71400,-,-,14700,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2012
"Museum für Fotografie -
Charlottenburg",115000,93900,21100,-,-,5200,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2012
"Museum Berggruen -
Charlottenburg",-,-,-,-,-,-,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2012
"Sammlung Scharf-Gerstenberg -
Charlottenburg",35000,27700,7300,-,-,1400,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2012
Musikinstrumenten-Museum,60000,-,-,-,-,-,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2012
Staatsbibliothek,935207,-,-,-,-,-,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2012
